startedAt;prod1-1:2.29.0;source;prod1-65:2.29.1;prod1-65:2.29.2;prod1-65:2.29.3;prod1-65:2.29.9
2025-04-02 16:00:00+00:00;0.532;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 16:15:00+00:00;0.4;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 16:30:00+00:00;0.352;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 16:45:00+00:00;0.304;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 17:00:00+00:00;0.248;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 17:15:00+00:00;0.192;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 17:30:00+00:00;0.128;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 17:45:00+00:00;0.056;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 18:00:00+00:00;0.004;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 18:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 18:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 18:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 19:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 19:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 19:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 19:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 20:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 20:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 20:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 20:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 21:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 21:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 21:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 21:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 22:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 22:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 22:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 22:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
