startedAt;percentage_cons;valuecons;total_sum_cons;percentage_prod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Marie-Anne;power_used_by_community;has_to_pay-Marie-Anne;power_sold_to_grid;has_to_receive-Madalin
;df-cons-Marie-Anne;df-cons-Marie-Anne;;df-prod-Madalin;df-prod-Madalin;;;;;;;;;;
2025-05-29 13:45:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-29 14:00:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-29 14:15:00+00:00;100.0;0.124;0.124;100.0;0.124;0.124;100.0;100.0;0.124;0.00341;0.124;0.124;0.00341;0.0;0.00341
2025-05-29 14:30:00+00:00;100.0;0.12;0.12;100.0;0.12;0.12;100.0;100.0;0.12;0.0033;0.12;0.12;0.0033;0.0;0.0033
2025-05-29 14:45:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-29 15:00:00+00:00;100.0;0.184;0.184;100.0;0.184;0.184;100.0;100.0;0.184;0.00506;0.184;0.184;0.00506;0.0;0.00506
2025-05-29 15:15:00+00:00;100.0;0.128;0.128;100.0;0.128;0.128;100.0;100.0;0.128;0.00352;0.128;0.128;0.00352;0.0;0.00352
2025-05-29 15:30:00+00:00;100.0;0.16;0.16;100.0;0.16;0.16;100.0;100.0;0.16;0.0044;0.16;0.16;0.0044;0.0;0.0044
2025-05-29 15:45:00+00:00;100.0;0.128;0.128;100.0;0.128;0.128;100.0;100.0;0.128;0.00352;0.128;0.128;0.00352;0.0;0.00352
2025-05-29 16:00:00+00:00;100.0;0.264;0.264;100.0;0.264;0.264;100.0;100.0;0.264;0.00726;0.264;0.264;0.00726;0.0;0.00726
2025-05-29 16:15:00+00:00;100.0;0.092;0.092;100.0;0.092;0.092;100.0;100.0;0.092;0.00253;0.092;0.092;0.00253;0.0;0.00253
2025-05-29 16:30:00+00:00;100.0;0.288;0.288;100.0;0.288;0.288;100.0;100.0;0.288;0.00792;0.288;0.288;0.00792;0.0;0.00792
2025-05-29 16:45:00+00:00;100.0;0.196;0.196;100.0;0.196;0.196;100.0;100.0;0.196;0.00539;0.196;0.196;0.00539;0.0;0.00539
2025-05-29 17:00:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
2025-05-29 17:15:00+00:00;100.0;0.096;0.096;100.0;0.096;0.096;100.0;100.0;0.096;0.00264;0.096;0.096;0.00264;0.0;0.00264
2025-05-29 17:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-29 17:45:00+00:00;100.0;0.064;0.064;100.0;0.064;0.064;100.0;100.0;0.064;0.00176;0.064;0.064;0.00176;0.0;0.00176
2025-05-29 18:00:00+00:00;100.0;0.044;0.044;100.0;0.044;0.044;100.0;100.0;0.044;0.00121;0.044;0.044;0.00121;0.0;0.00121
