startedAt;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;total_sum_cons;percentage_prod;percentage_prod;valueprod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Véronique;power_used_by_community;has_to_pay-Véronique;community_power_used-Christian;has_to_pay-Christian;community_power_used-Marc;has_to_pay-Marc;power_sold_to_grid;has_to_receive-Véronique;has_to_receive-Marc;sun_visible
;df-cons-Christian;df-cons-Marc;df-cons-Véronique;df-cons-Christian;df-cons-Marc;df-cons-Véronique;;df-prod-Marc;df-prod-Véronique;df-prod-Marc;df-prod-Véronique;;;;;;;;;;;;;;;;
2025-01-22 06:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 07:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 07:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 07:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 07:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 08:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 08:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;False
2025-01-22 08:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 08:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 09:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 09:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 09:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 09:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 10:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 10:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 10:30:00+00:00;21.667;78.333;0.0;0.13;0.47;0.0;0.6;0.0;100.0;0.0;0.6;0.6;100.0;100.0;0.6;0.0165;0.0;0.6;0.0;0.130002;0.0035750550000000006;0.46999799999999997;0.012924945;0.0;0.0165;0.0;True
2025-01-22 10:45:00+00:00;24.893;75.107;0.0;0.232;0.7;0.0;0.9319999999999999;0.0;100.0;0.0;0.932;0.932;100.0;100.0;0.9319999999999999;0.02563;0.0;0.9319999999999999;0.0;0.23200276;0.0063800759000000005;0.69999724;0.0192499241;1.1102230246251565e-16;0.02563;0.0;True
2025-01-22 11:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 11:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 11:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 11:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 12:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 12:15:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-22 12:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
