startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-03 21:45:00+00:00;0.0;0.0
2025-04-03 22:00:00+00:00;0.0;0.0
2025-04-03 22:15:00+00:00;0.0;0.0
2025-04-03 22:30:00+00:00;0.0;0.0
2025-04-03 22:45:00+00:00;0.0;0.0
2025-04-03 23:00:00+00:00;0.0;0.0
2025-04-03 23:15:00+00:00;0.0;0.0
2025-04-03 23:30:00+00:00;0.0;0.0
2025-04-03 23:45:00+00:00;0.0;0.0
2025-04-04 00:00:00+00:00;0.0;0.0
2025-04-04 00:15:00+00:00;0.0;0.0
2025-04-04 00:30:00+00:00;0.0;0.0
2025-04-04 00:45:00+00:00;0.0;0.0
2025-04-04 01:00:00+00:00;0.0;0.0
2025-04-04 01:15:00+00:00;0.0;0.0
2025-04-04 01:30:00+00:00;0.0;0.0
2025-04-04 01:45:00+00:00;0.0;0.0
2025-04-04 02:00:00+00:00;0.0;0.0
2025-04-04 02:15:00+00:00;0.0;0.0
2025-04-04 02:30:00+00:00;0.0;0.0
2025-04-04 02:45:00+00:00;0.0;0.0
2025-04-04 03:00:00+00:00;0.0;0.0
2025-04-04 03:15:00+00:00;0.0;0.0
2025-04-04 03:30:00+00:00;0.0;0.0
2025-04-04 03:45:00+00:00;0.0;0.0
2025-04-04 04:00:00+00:00;0.0;0.0
2025-04-04 04:15:00+00:00;0.0;0.0
2025-04-04 04:30:00+00:00;0.0;0.0
2025-04-04 04:45:00+00:00;0.0;0.0
2025-04-04 05:00:00+00:00;0.0;0.032
2025-04-04 05:15:00+00:00;0.0;0.38
2025-04-04 05:30:00+00:00;0.0;0.928
2025-04-04 05:45:00+00:00;0.02;1.496
2025-04-04 06:00:00+00:00;0.052;1.32
2025-04-04 06:15:00+00:00;0.104;0.212
2025-04-04 06:30:00+00:00;0.12;0.248
2025-04-04 06:45:00+00:00;0.208;2.68
2025-04-04 07:00:00+00:00;0.472;4.208
2025-04-04 07:15:00+00:00;0.884;3.608
2025-04-04 07:30:00+00:00;0.812;0.264
2025-04-04 07:45:00+00:00;1.524;0.288
2025-04-04 08:00:00+00:00;2.292;0.252
2025-04-04 08:15:00+00:00;0.704;0.244
2025-04-04 08:30:00+00:00;0.964;5.02
2025-04-04 08:45:00+00:00;1.044;2.164
2025-04-04 09:00:00+00:00;2.372;0.264
2025-04-04 09:15:00+00:00;2.484;0.244
2025-04-04 09:30:00+00:00;3.784;0.256
2025-04-04 09:45:00+00:00;4.752;0.268
2025-04-04 10:00:00+00:00;2.968;0.28
2025-04-04 10:15:00+00:00;2.716;0.252
2025-04-04 10:30:00+00:00;2.94;0.244
2025-04-04 10:45:00+00:00;2.756;0.26
2025-04-04 11:00:00+00:00;2.528;0.328
2025-04-04 11:15:00+00:00;3.008;0.284
2025-04-04 11:30:00+00:00;2.364;0.24
2025-04-04 11:45:00+00:00;3.82;0.248
2025-04-04 12:00:00+00:00;2.796;0.264
2025-04-04 12:15:00+00:00;2.5;0.304
2025-04-04 12:30:00+00:00;1.872;0.26
2025-04-04 12:45:00+00:00;0.736;0.244
2025-04-04 13:00:00+00:00;0.504;0.26
2025-04-04 13:15:00+00:00;0.732;0.276
2025-04-04 13:30:00+00:00;1.184;0.288
2025-04-04 13:45:00+00:00;0.86;0.26
2025-04-04 14:00:00+00:00;0.556;0.232
2025-04-04 14:15:00+00:00;0.648;0.276
2025-04-04 14:30:00+00:00;0.52;0.316
2025-04-04 14:45:00+00:00;0.912;0.304
2025-04-04 15:00:00+00:00;0.856;0.272
2025-04-04 15:15:00+00:00;0.66;0.312
2025-04-04 15:30:00+00:00;0.64;0.34
2025-04-04 15:45:00+00:00;0.456;0.312
2025-04-04 16:00:00+00:00;0.58;0.308
2025-04-04 16:15:00+00:00;0.624;0.272
2025-04-04 16:30:00+00:00;0.652;0.26
2025-04-04 16:45:00+00:00;0.7;0.264
2025-04-04 17:00:00+00:00;0.508;0.224
2025-04-04 17:15:00+00:00;0.396;0.176
2025-04-04 17:30:00+00:00;0.56;0.124
2025-04-04 17:45:00+00:00;0.072;0.056
2025-04-04 18:00:00+00:00;0.0;0.004
2025-04-04 18:15:00+00:00;0.0;0.0
2025-04-04 18:30:00+00:00;0.0;0.0
2025-04-04 18:45:00+00:00;0.0;0.0
2025-04-04 19:00:00+00:00;0.0;0.0
2025-04-04 19:15:00+00:00;0.0;0.0
2025-04-04 19:30:00+00:00;0.0;0.0
2025-04-04 19:45:00+00:00;0.0;0.0
2025-04-04 20:00:00+00:00;0.0;0.0
2025-04-04 20:15:00+00:00;0.0;0.0
2025-04-04 20:30:00+00:00;0.0;0.0
2025-04-04 20:45:00+00:00;0.0;0.0
2025-04-04 21:00:00+00:00;0.0;0.0
2025-04-04 21:15:00+00:00;0.0;0.0
2025-04-04 21:30:00+00:00;0.0;0.0
2025-04-04 21:45:00+00:00;0.0;0.0
2025-04-04 22:00:00+00:00;0.0;0.0
2025-04-04 22:15:00+00:00;0.0;0.0
2025-04-04 22:30:00+00:00;0.0;0.0
2025-04-04 22:45:00+00:00;0.0;0.0
2025-04-04 23:00:00+00:00;0.0;0.0
2025-04-04 23:15:00+00:00;0.0;0.0
2025-04-04 23:30:00+00:00;0.0;0.0
2025-04-04 23:45:00+00:00;0.0;0.0
2025-04-05 00:00:00+00:00;0.0;0.0
2025-04-05 00:15:00+00:00;0.0;0.0
2025-04-05 00:30:00+00:00;0.0;0.0
2025-04-05 00:45:00+00:00;0.0;0.0
2025-04-05 01:00:00+00:00;0.0;0.0
2025-04-05 01:15:00+00:00;0.0;0.0
2025-04-05 01:30:00+00:00;0.0;0.0
2025-04-05 01:45:00+00:00;0.0;0.0
2025-04-05 02:00:00+00:00;0.0;0.0
2025-04-05 02:15:00+00:00;0.0;0.0
2025-04-05 02:30:00+00:00;0.0;0.0
2025-04-05 02:45:00+00:00;0.0;0.0
2025-04-05 03:00:00+00:00;0.0;0.0
2025-04-05 03:15:00+00:00;0.0;0.0
2025-04-05 03:30:00+00:00;0.0;0.0
2025-04-05 03:45:00+00:00;0.0;0.0
2025-04-05 04:00:00+00:00;0.0;0.0
