startedAt;valueprodauto;source
2025-04-03 12:45:00+00:00;5.3;df-prod-Véronique
2025-04-03 13:00:00+00:00;5.308;df-prod-Véronique
2025-04-03 13:15:00+00:00;5.564;df-prod-Véronique
2025-04-03 13:30:00+00:00;5.284;df-prod-Véronique
2025-04-03 13:45:00+00:00;4.904;df-prod-Véronique
2025-04-03 14:00:00+00:00;4.532;df-prod-Véronique
2025-04-03 14:15:00+00:00;4.104;df-prod-Véronique
2025-04-03 14:30:00+00:00;3.664;df-prod-Véronique
2025-04-03 14:45:00+00:00;3.132;df-prod-Véronique
2025-04-03 15:00:00+00:00;2.268;df-prod-Véronique
2025-04-03 15:15:00+00:00;1.5;df-prod-Véronique
2025-04-03 15:30:00+00:00;1.172;df-prod-Véronique
2025-04-03 15:45:00+00:00;0.804;df-prod-Véronique
2025-04-03 16:00:00+00:00;0.276;df-prod-Véronique
2025-04-03 16:15:00+00:00;0.256;df-prod-Véronique
2025-04-03 16:30:00+00:00;0.264;df-prod-Véronique
2025-04-03 16:45:00+00:00;0.264;df-prod-Véronique
2025-04-03 17:00:00+00:00;0.244;df-prod-Véronique
2025-04-03 17:15:00+00:00;0.176;df-prod-Véronique
2025-04-03 17:30:00+00:00;0.108;df-prod-Véronique
2025-04-03 17:45:00+00:00;0.04;df-prod-Véronique
2025-04-03 18:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 18:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 18:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 18:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 19:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 19:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 19:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 19:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 20:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 20:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 20:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 20:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 21:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 21:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 21:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 21:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 22:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 22:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 22:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 22:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 23:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 23:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 23:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 23:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 00:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 00:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 00:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 00:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 01:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 01:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 01:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 01:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 02:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 02:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 02:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 02:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 03:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 03:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 03:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 03:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 04:00:00+00:00;0.0;df-prod-Véronique
2025-04-04 04:15:00+00:00;0.0;df-prod-Véronique
2025-04-04 04:30:00+00:00;0.0;df-prod-Véronique
2025-04-04 04:45:00+00:00;0.0;df-prod-Véronique
2025-04-04 05:00:00+00:00;0.032;df-prod-Véronique
2025-04-04 05:15:00+00:00;0.38;df-prod-Véronique
2025-04-04 05:30:00+00:00;0.928;df-prod-Véronique
2025-04-04 05:45:00+00:00;1.496;df-prod-Véronique
2025-04-04 06:00:00+00:00;1.32;df-prod-Véronique
2025-04-04 06:15:00+00:00;0.212;df-prod-Véronique
2025-04-04 06:30:00+00:00;0.248;df-prod-Véronique
2025-04-04 06:45:00+00:00;2.68;df-prod-Véronique
2025-04-04 07:00:00+00:00;4.208;df-prod-Véronique
2025-04-04 07:15:00+00:00;3.608;df-prod-Véronique
2025-04-04 07:30:00+00:00;0.264;df-prod-Véronique
2025-04-04 07:45:00+00:00;0.288;df-prod-Véronique
2025-04-04 08:00:00+00:00;0.252;df-prod-Véronique
2025-04-04 08:15:00+00:00;0.244;df-prod-Véronique
2025-04-04 08:30:00+00:00;5.02;df-prod-Véronique
2025-04-04 08:45:00+00:00;2.164;df-prod-Véronique
2025-04-04 09:00:00+00:00;0.264;df-prod-Véronique
2025-04-04 09:15:00+00:00;0.244;df-prod-Véronique
2025-04-04 09:30:00+00:00;0.256;df-prod-Véronique
2025-04-04 09:45:00+00:00;0.268;df-prod-Véronique
2025-04-04 10:00:00+00:00;0.28;df-prod-Véronique
2025-04-04 10:15:00+00:00;0.252;df-prod-Véronique
2025-04-04 10:30:00+00:00;0.244;df-prod-Véronique
2025-04-04 10:45:00+00:00;0.26;df-prod-Véronique
2025-04-04 11:00:00+00:00;0.328;df-prod-Véronique
2025-04-04 11:15:00+00:00;0.284;df-prod-Véronique
2025-04-04 11:30:00+00:00;0.24;df-prod-Véronique
2025-04-04 11:45:00+00:00;0.248;df-prod-Véronique
2025-04-04 12:00:00+00:00;0.264;df-prod-Véronique
2025-04-04 12:15:00+00:00;0.304;df-prod-Véronique
2025-04-04 12:30:00+00:00;0.26;df-prod-Véronique
2025-04-04 12:45:00+00:00;0.244;df-prod-Véronique
2025-04-04 13:00:00+00:00;0.26;df-prod-Véronique
2025-04-04 13:15:00+00:00;0.276;df-prod-Véronique
2025-04-04 13:30:00+00:00;0.288;df-prod-Véronique
2025-04-04 13:45:00+00:00;0.26;df-prod-Véronique
2025-04-04 14:00:00+00:00;0.232;df-prod-Véronique
2025-04-04 14:15:00+00:00;0.276;df-prod-Véronique
2025-04-04 14:30:00+00:00;0.316;df-prod-Véronique
2025-04-04 14:45:00+00:00;0.304;df-prod-Véronique
2025-04-04 15:00:00+00:00;0.272;df-prod-Véronique
2025-04-04 15:15:00+00:00;0.312;df-prod-Véronique
2025-04-04 15:30:00+00:00;0.34;df-prod-Véronique
2025-04-04 15:45:00+00:00;0.312;df-prod-Véronique
2025-04-04 16:00:00+00:00;0.308;df-prod-Véronique
2025-04-04 16:15:00+00:00;0.272;df-prod-Véronique
2025-04-04 16:30:00+00:00;0.26;df-prod-Véronique
2025-04-04 16:45:00+00:00;0.264;df-prod-Véronique
2025-04-04 17:00:00+00:00;0.224;df-prod-Véronique
2025-04-04 17:15:00+00:00;0.176;df-prod-Véronique
2025-04-04 17:30:00+00:00;0.124;df-prod-Véronique
2025-04-04 17:45:00+00:00;0.056;df-prod-Véronique
