startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared
;df-prod-Gaby_Prod;df-prod-MarcSud;df-prod-Véronique-Prod;df-prod-Gaby-Autocons;df-prod-Véronique-Autocons;df-prod-Gaby-Comm;df-prod-Véronique-Comm
2025-03-04 10:45:00+00:00;7.912;5.272;6.832;;4.436;;1.724
2025-03-04 11:00:00+00:00;8.456;5.444;6.972;;4.408;;2.564
2025-03-04 11:15:00+00:00;8.256;5.128;6.556;;1.012;;2.728
2025-03-04 11:30:00+00:00;8.828;5.308;6.768;;1.012;;1.634
2025-03-04 11:45:00+00:00;9.116;5.32;6.728;;0.788;;1.091
2025-03-04 12:00:00+00:00;9.244;5.216;6.56;;5.252;;1.308
2025-03-04 12:15:00+00:00;9.184;5.12;6.368;;5.32;;1.048
2025-03-04 12:30:00+00:00;8.584;4.632;5.724;;5.724;;0.0
2025-03-04 12:45:00+00:00;9.072;4.576;5.664;;5.36;;0.304
2025-03-04 13:00:00+00:00;7.716;3.932;4.804;;4.804;;0.0
2025-03-04 13:15:00+00:00;7.744;3.58;4.452;;4.452;;0.0
2025-03-04 13:30:00+00:00;8.856;3.852;4.748;;4.748;;0.0
