startedAt,prod_Véronique_1-1:2.29.0,prod_Marc_1-1:2.29.0,prod_Gaby_1-1:2.29.0,prod_Pit_1-1:2.29.0,prod_Madalin_1-1:2.29.0,prod_Véronique_1-65:2.29.1,prod_Véronique_1-65:2.29.2,prod_Marc_1-65:2.29.2,prod_Gaby_1-65:2.29.2,prod_Pit_1-65:2.29.2,prod_Madalin_1-65:2.29.2,prod_Gaby_1-65:2.29.3,prod_Véronique_1-65:2.29.4,prod_Marc_1-65:2.29.4,prod_Gaby_1-65:2.29.4,prod_Pit_1-65:2.29.4,prod_Madalin_1-65:2.29.4,prod_Véronique_1-65:2.29.9,prod_Marc_1-65:2.29.9,prod_Gaby_1-65:2.29.9,prod_Pit_1-65:2.29.9,prod_Madalin_1-65:2.29.9,cons_Sebastien_1-1:1.29.0,cons_Jessica_1-1:1.29.0,cons_Sebastien_1-65:1.29.4,cons_Jessica_1-65:1.29.4,cons_Sebastien_1-65:1.29.8,cons_Jessica_1-65:1.29.8,cons_Sebastien_1-65:1.29.9,cons_Jessica_1-65:1.29.9,sum_1-1:2.29.0,sum_1-65:2.29.1,sum_1-65:2.29.2,sum_1-65:2.29.3,sum_1-65:2.29.4,sum_1-65:2.29.9,sum_1-1:1.29.0,sum_1-65:1.29.4,sum_1-65:1.29.8,sum_1-65:1.29.9
2025-06-01 08:45:00+00:00,1.42,0.04,1.936,0.0,1.156,0.356,0.7,0.026,0.89,0.0,0.12,0.584,,,,,,0.364,0.014,,0.0,1.036,0.124,0.604,,,,,,,4.552,0.356,1.7360000000000002,0.584,0.0,1.4140000000000001,0.728,0.0,0.0,0.0
2025-06-01 09:00:00+00:00,2.444,0.112,3.076,0.564,2.008,0.324,1.427,0.075,1.69,0.38,0.248,0.564,,,,,,0.693,0.037,,0.184,1.76,0.124,0.244,,,,,,,8.204,0.324,3.8200000000000003,0.564,0.0,2.674,0.368,0.0,0.0,0.0
2025-06-01 09:15:00+00:00,4.648,0.052,5.784,1.44,3.808,1.328,0.559,0.009,0.913,0.243,0.184,0.364,,,,,,2.761,0.043,,1.197,3.624,0.12,0.076,,,,,,,15.731999999999998,1.328,1.9080000000000001,0.364,0.0,7.625,0.196,0.0,0.0,0.0
2025-06-01 09:30:00+00:00,4.696,0.024,5.972,2.844,3.964,4.696,0.0,0.01,2.04,1.118,0.14,0.784,,,,,,0.0,0.014,,1.726,3.824,0.112,0.072,,,,,,,17.5,4.696,3.3080000000000003,0.784,0.0,5.564,0.184,0.0,0.0,0.0
2025-06-01 09:45:00+00:00,5.012,0.028,6.452,5.712,4.252,0.432,0.72,0.004,0.841,0.899,0.08,1.108,,,,,,3.86,0.024,,4.813,4.172,0.06,0.164,,,,,,,21.456,0.432,2.544,1.108,0.0,12.869,0.224,0.0,0.0,0.0
2025-06-01 10:00:00+00:00,4.856,0.024,6.528,5.576,4.24,0.784,0.728,0.004,0.99,0.998,0.08,0.996,,,,,,3.344,0.02,,4.578,4.16,0.096,0.164,,,,,,,21.223999999999997,0.784,2.8,0.996,0.0,12.102,0.26,0.0,0.0,0.0
2025-06-01 10:15:00+00:00,2.64,0.028,3.54,2.916,2.288,0.744,0.572,0.008,0.964,0.88,0.08,0.344,,,,,,1.324,0.02,,2.036,2.208,0.116,0.164,,,,,,,11.412,0.744,2.504,0.344,0.0,5.588,0.28,0.0,0.0,0.0
2025-06-01 10:30:00+00:00,3.964,0.024,5.216,4.472,3.244,0.728,0.56,0.004,0.782,0.774,0.124,0.696,,,,,,2.676,0.02,,3.698,3.12,0.124,0.116,,,,,,,16.92,0.728,2.244,0.696,0.0,9.514,0.24,0.0,0.0,0.0
2025-06-01 10:45:00+00:00,6.208,0.024,8.712,7.276,5.296,3.776,0.15,0.001,0.464,0.449,0.12,1.204,,,,,,2.282,0.023,,6.827,5.176,0.472,0.072,,,,,,,27.516,3.776,1.1840000000000002,1.204,0.0,14.308,0.5439999999999999,0.0,0.0,0.0
2025-06-01 11:00:00+00:00,5.784,0.024,8.332,6.756,5.036,3.348,0.244,0.002,0.742,0.676,0.084,0.912,,,,,,2.192,0.022,,6.08,4.952,0.14,0.072,,,,,,,25.932000000000002,3.348,1.7480000000000002,0.912,0.0,13.246,0.21200000000000002,0.0,0.0,0.0
