startedAt;temperature;weather_condition;dew_point;rain;snowfall;cloud_cover
2025-01-23 16:15:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 16:30:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 16:45:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 17:00:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:15:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:30:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:45:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 18:00:00+00:00;2.6;overcast;0.7;0.0;0.0;100
2025-01-23 18:15:00+00:00;2.6;overcast;0.7;0.0;0.0;100
2025-01-23 18:30:00+00:00;2.6;overcast;0.7;0.0;0.0;100
2025-01-23 18:45:00+00:00;2.6;overcast;0.7;0.0;0.0;100
2025-01-23 19:00:00+00:00;2.6;overcast;0.5;0.0;0.0;100
2025-01-23 19:15:00+00:00;2.6;overcast;0.5;0.0;0.0;100
2025-01-23 19:30:00+00:00;2.6;overcast;0.5;0.0;0.0;100
2025-01-23 19:45:00+00:00;2.6;overcast;0.5;0.0;0.0;100
2025-01-23 20:00:00+00:00;2.9;overcast;0.5;0.0;0.0;90
2025-01-23 20:15:00+00:00;2.9;overcast;0.5;0.0;0.0;90
2025-01-23 20:30:00+00:00;2.9;overcast;0.5;0.0;0.0;90
2025-01-23 20:45:00+00:00;2.9;overcast;0.5;0.0;0.0;90
2025-01-23 21:00:00+00:00;2.0;heavy snow;0.7;0.4;0.91;100
2025-01-23 21:15:00+00:00;2.0;heavy snow;0.7;0.4;0.91;100
2025-01-23 21:30:00+00:00;2.0;heavy snow;0.7;0.4;0.91;100
2025-01-23 21:45:00+00:00;2.0;heavy snow;0.7;0.4;0.91;100
2025-01-23 22:00:00+00:00;2.8;moderate snow;1.4;0.4;0.63;100
2025-01-23 22:15:00+00:00;2.8;moderate snow;1.4;0.4;0.63;100
2025-01-23 22:30:00+00:00;2.8;moderate snow;1.4;0.4;0.63;100
2025-01-23 22:45:00+00:00;2.8;moderate snow;1.4;0.4;0.63;100
2025-01-23 23:00:00+00:00;2.7;light drizzle;1.9;0.4;0.0;100
2025-01-23 23:15:00+00:00;2.7;light drizzle;1.9;0.4;0.0;100
2025-01-23 23:30:00+00:00;2.7;light drizzle;1.9;0.4;0.0;100
2025-01-23 23:45:00+00:00;2.7;light drizzle;1.9;0.4;0.0;100
2025-01-24 00:00:00+00:00;3.0;moderate drizzle;2.4;0.5;0.0;100
2025-01-24 00:15:00+00:00;3.0;moderate drizzle;2.4;0.5;0.0;100
2025-01-24 00:30:00+00:00;3.0;moderate drizzle;2.4;0.5;0.0;100
2025-01-24 00:45:00+00:00;3.0;moderate drizzle;2.4;0.5;0.0;100
2025-01-24 01:00:00+00:00;3.4;moderate drizzle;3.0;0.5;0.0;100
2025-01-24 01:15:00+00:00;3.4;moderate drizzle;3.0;0.5;0.0;100
2025-01-24 01:30:00+00:00;3.4;moderate drizzle;3.0;0.5;0.0;100
2025-01-24 01:45:00+00:00;3.4;moderate drizzle;3.0;0.5;0.0;100
2025-01-24 02:00:00+00:00;3.8;light drizzle;3.4;0.1;0.0;100
2025-01-24 02:15:00+00:00;3.8;light drizzle;3.4;0.1;0.0;100
2025-01-24 02:30:00+00:00;3.8;light drizzle;3.4;0.1;0.0;100
2025-01-24 02:45:00+00:00;3.8;light drizzle;3.4;0.1;0.0;100
2025-01-24 03:00:00+00:00;4.0;overcast;3.6;0.0;0.0;100
2025-01-24 03:15:00+00:00;4.0;overcast;3.6;0.0;0.0;100
2025-01-24 03:30:00+00:00;4.0;overcast;3.6;0.0;0.0;100
2025-01-24 03:45:00+00:00;4.0;overcast;3.6;0.0;0.0;100
2025-01-24 04:00:00+00:00;4.2;overcast;3.7;0.0;0.0;100
2025-01-24 04:15:00+00:00;4.2;overcast;3.7;0.0;0.0;100
2025-01-24 04:30:00+00:00;4.2;overcast;3.7;0.0;0.0;100
2025-01-24 04:45:00+00:00;4.2;overcast;3.7;0.0;0.0;100
2025-01-24 05:00:00+00:00;4.5;overcast;3.8;0.0;0.0;100
2025-01-24 05:15:00+00:00;4.5;overcast;3.8;0.0;0.0;100
2025-01-24 05:30:00+00:00;4.5;overcast;3.8;0.0;0.0;100
2025-01-24 05:45:00+00:00;4.5;overcast;3.8;0.0;0.0;100
2025-01-24 06:00:00+00:00;4.3;overcast;3.6;0.0;0.0;100
2025-01-24 06:15:00+00:00;4.3;overcast;3.6;0.0;0.0;100
2025-01-24 06:30:00+00:00;4.3;overcast;3.6;0.0;0.0;100
2025-01-24 06:45:00+00:00;4.3;overcast;3.6;0.0;0.0;100
2025-01-24 07:00:00+00:00;4.1;overcast;3.1;0.0;0.0;100
2025-01-24 07:15:00+00:00;4.1;overcast;3.1;0.0;0.0;100
2025-01-24 07:30:00+00:00;4.1;overcast;3.1;0.0;0.0;100
2025-01-24 07:45:00+00:00;4.1;overcast;3.1;0.0;0.0;100
2025-01-24 08:00:00+00:00;3.2;overcast;2.2;0.0;0.0;100
2025-01-24 08:15:00+00:00;3.2;overcast;2.2;0.0;0.0;100
2025-01-24 08:30:00+00:00;3.2;overcast;2.2;0.0;0.0;100
2025-01-24 08:45:00+00:00;3.2;overcast;2.2;0.0;0.0;100
2025-01-24 09:00:00+00:00;2.8;overcast;1.8;0.0;0.0;100
2025-01-24 09:15:00+00:00;2.8;overcast;1.8;0.0;0.0;100
2025-01-24 09:30:00+00:00;2.8;overcast;1.8;0.0;0.0;100
2025-01-24 09:45:00+00:00;2.8;overcast;1.8;0.0;0.0;100
2025-01-24 10:00:00+00:00;3.2;overcast;1.2;0.0;0.0;100
2025-01-24 10:15:00+00:00;3.2;overcast;1.2;0.0;0.0;100
2025-01-24 10:30:00+00:00;3.2;overcast;1.2;0.0;0.0;100
2025-01-24 10:45:00+00:00;3.2;overcast;1.2;0.0;0.0;100
2025-01-24 11:00:00+00:00;4.9;overcast;0.5;0.0;0.0;100
2025-01-24 11:15:00+00:00;4.9;overcast;0.5;0.0;0.0;100
2025-01-24 11:30:00+00:00;4.9;overcast;0.5;0.0;0.0;100
2025-01-24 11:45:00+00:00;4.9;overcast;0.5;0.0;0.0;100
2025-01-24 12:00:00+00:00;6.0;light drizzle;1.1;0.4;0.0;100
2025-01-24 12:15:00+00:00;6.0;light drizzle;1.1;0.4;0.0;100
2025-01-24 12:30:00+00:00;6.0;light drizzle;1.1;0.4;0.0;100
